pipeline_id,run_id,run_timestamp,status,psi_score,schema_drift_detected,failure_class,healing_cycles,rows_processed,duration_seconds
pipeline_001,pipeline_001_run_00000,2024-01-01 00:00:00,success,0.0487,False,none,0,21661,127
pipeline_001,pipeline_001_run_00001,2024-01-01 17:28:00,success,0.0299,False,none,0,58110,97
pipeline_001,pipeline_001_run_00002,2024-01-02 10:56:00,success,0.0705,False,none,0,108009,144
pipeline_001,pipeline_001_run_00003,2024-01-03 04:24:00,success,0.0638,False,none,0,153006,139
pipeline_001,pipeline_001_run_00004,2024-01-03 21:52:00,success,0.0127,False,none,0,10968,150
pipeline_001,pipeline_001_run_00005,2024-01-04 15:20:00,success,0.076,False,none,0,24886,118
pipeline_001,pipeline_001_run_00006,2024-01-05 08:48:00,success,0.0601,False,none,0,8933,143
pipeline_001,pipeline_001_run_00007,2024-01-06 02:16:00,success,0.0243,False,none,0,4304,138
pipeline_001,pipeline_001_run_00008,2024-01-06 19:44:00,success,0.0763,False,none,0,37760,29
pipeline_001,pipeline_001_run_00009,2024-01-07 13:12:00,success,0.0587,False,none,0,10680,81
pipeline_001,pipeline_001_run_00010,2024-01-08 06:40:00,success,0.0114,False,none,0,41722,116
pipeline_001,pipeline_001_run_00011,2024-01-09 00:08:00,success,0.0609,False,none,0,197685,137
pipeline_001,pipeline_001_run_00012,2024-01-09 17:36:00,success,0.0377,False,none,0,33785,156
pipeline_001,pipeline_001_run_00013,2024-01-10 11:04:00,success,0.0536,False,none,0,4035,131
pipeline_001,pipeline_001_run_00014,2024-01-11 04:32:00,success,0.0595,False,none,0,15184,106
pipeline_001,pipeline_001_run_00015,2024-01-11 22:00:00,success,0.0451,False,none,0,424889,137
pipeline_001,pipeline_001_run_00016,2024-01-12 15:28:00,success,0.0398,False,none,0,34667,117
pipeline_001,pipeline_001_run_00017,2024-01-13 08:56:00,success,0.0262,False,none,0,18652,120
pipeline_001,pipeline_001_run_00018,2024-01-14 02:24:00,success,0.0221,False,none,0,11540,114
pipeline_001,pipeline_001_run_00019,2024-01-14 19:52:00,success,0.0447,False,none,0,42175,117
pipeline_001,pipeline_001_run_00020,2024-01-15 13:20:00,success,0.0456,False,none,0,34841,137
pipeline_001,pipeline_001_run_00021,2024-01-16 06:48:00,success,0.073,False,none,0,28103,94
pipeline_001,pipeline_001_run_00022,2024-01-17 00:16:00,success,0.0569,False,none,0,99925,79
pipeline_001,pipeline_001_run_00023,2024-01-17 17:44:00,success,0.0395,False,none,0,116574,162
pipeline_001,pipeline_001_run_00024,2024-01-18 11:12:00,success,0.0491,False,none,0,13639,140
pipeline_001,pipeline_001_run_00025,2024-01-19 04:40:00,success,0.0367,False,none,0,8500,116
pipeline_001,pipeline_001_run_00026,2024-01-19 22:08:00,success,0.0128,False,none,0,66027,64
pipeline_001,pipeline_001_run_00027,2024-01-20 15:36:00,success,0.0597,False,none,0,32635,90
pipeline_001,pipeline_001_run_00028,2024-01-21 09:04:00,success,0.0744,False,none,0,2972,126
pipeline_001,pipeline_001_run_00029,2024-01-22 02:32:00,success,0.0345,False,none,0,142529,131
pipeline_001,pipeline_001_run_00030,2024-01-22 20:00:00,success,0.0455,False,none,0,30058,136
pipeline_001,pipeline_001_run_00031,2024-01-23 13:28:00,success,0.0464,False,none,0,57693,70
pipeline_001,pipeline_001_run_00032,2024-01-24 06:56:00,success,0.0747,False,none,0,103847,77
pipeline_001,pipeline_001_run_00033,2024-01-25 00:24:00,success,0.0193,False,none,0,25638,163
pipeline_001,pipeline_001_run_00034,2024-01-25 17:52:00,success,0.0784,False,none,0,102310,153
pipeline_001,pipeline_001_run_00035,2024-01-26 11:20:00,success,0.0482,False,none,0,30017,124
pipeline_001,pipeline_001_run_00036,2024-01-27 04:48:00,success,0.0654,False,none,0,42948,129
pipeline_001,pipeline_001_run_00037,2024-01-27 22:16:00,success,0.0269,False,none,0,37195,143
pipeline_001,pipeline_001_run_00038,2024-01-28 15:44:00,success,0.035,False,none,0,11890,59
pipeline_001,pipeline_001_run_00039,2024-01-29 09:12:00,success,0.0496,False,none,0,1758,135
pipeline_001,pipeline_001_run_00040,2024-01-30 02:40:00,success,0.0268,False,none,0,4052,74
pipeline_001,pipeline_001_run_00041,2024-01-30 20:08:00,success,0.0313,False,none,0,281533,85
pipeline_001,pipeline_001_run_00042,2024-01-31 13:36:00,success,0.0577,False,none,0,25373,109
pipeline_001,pipeline_001_run_00043,2024-02-01 07:04:00,success,0.0796,False,none,0,26882,187
pipeline_001,pipeline_001_run_00044,2024-02-02 00:32:00,success,0.0123,False,none,0,65181,61
pipeline_001,pipeline_001_run_00045,2024-02-02 18:00:00,success,0.0786,False,none,0,23173,119
